Species_No(2)	Species_No(3)	Species_No(1)
0	0	1
0	1	0
0	1	0
0	0	1
0	1	0
0	1	0
1	0	0
1	0	0
0	1	0
1	0	0
0	0	1
0	1	0
0	0	1
0	0	1
1	0	0
0	1	0
1	0	0
0	0	1
0	0	1
0	1	0
0	0	1
0	0	1
1	0	0
1	0	0
0	0	1
0	1	0
0	0	1
0	1	0
1	0	0
0	0	1
0	1	0
1	0	0
0	0	1
1	0	0
0	1	0
1	0	0
0	1	0
0	1	0
1	0	0
1	0	0
1	0	0
0	1	0
0	1	0
1	0	0
0	1	0
0	0	1
0	0	1
1	0	0
0	0	1
1	0	0
0	1	0
0	1	0
1	0	0
1	0	0
1	0	0
0	1	0
0	1	0
0	1	0
0	0	1
1	0	0
0	1	0
0	1	0
1	0	0
0	1	0
0	0	1
0	0	1
0	1	0
0	1	0
0	0	1
0	0	1
1	0	0
0	0	1
0	0	1
1	0	0
0	1	0
1	0	0
0	0	1
0	1	0
1	0	0
0	0	1
0	0	1
1	0	0
1	0	0
0	0	1
1	0	0
0	0	1
1	0	0
0	0	1
0	0	1
1	0	0
1	0	0
0	0	1
0	1	0
1	0	0
1	0	0
0	0	1
0	0	1
1	0	0
0	0	1
0	1	0
1	0	0
0	0	1
1	0	0
1	0	0
0	1	0
0	0	1
0	1	0
0	1	0
0	1	0
1	0	0
1	0	0
0	0	1
0	1	0
0	0	1
0	1	0
1	0	0
0	0	1
0	0	1
0	1	0
0	0	1
0	1	0
1	0	0
0	0	1
0	0	1
0	1	0
0	1	0
0	1	0
0	1	0
1	0	0
0	1	0
1	0	0
0	0	1
1	0	0
0	0	1
0	1	0
0	0	1
0	1	0
1	0	0
1	0	0
1	0	0
0	1	0
0	0	1
1	0	0
0	1	0
0	0	1
0	1	0
1	0	0
0	0	1
0	1	0
0	0	1
