Input1	Input2	Input3	Input4	Input5	Input6	Input7	Input8	Input9	Input10	Input11	Input12	Input13
26	184.75	72.25	37.4	101.8	86.4	101.2	60.1	37.3	22.8	32.4	29.4	18.2
24	184.25	71.25	34.4	97.3	100	101.9	63.2	42.2	24	32.2	27.7	17.7
35	162.75	66	36.4	99.1	92.8	99.2	63.1	38.7	21.7	31.1	26.4	16.9
34	195.75	71	38.9	101.9	96.4	105.2	64.8	40.8	23.1	36.2	30.8	17.3
32	209.25	71	42.1	107.6	97.5	107	66.9	40	24.4	38.2	31.6	19.3
46	363.15	72.25	51.2	136.2	148.1	147.7	87.3	49.1	29.6	45	29	21.4
50	203	67	40.2	114.8	108.1	102.5	61.3	41.1	24.7	34.1	31	18.3
45	262.75	68.75	43.2	128.3	126.2	125.6	72.5	39.6	26.6	36.4	32.7	21.4
70	170.75	70	38.7	101.8	94.9	95	56	36.5	24.1	31.2	27.3	19.2
72	168	69.25	38.5	101.4	99.8	96.2	56.3	36.6	22	29.7	26.3	18
